TaskID,TaskLink,ChallengeID,ChallengeLink,TaskName,TaskStatus,TaskPriority,MappedOn,CompletionTime,Mapper,ReviewStatus,Reviewer,ReviewedAt,ReviewTimeSeconds,AdditionalReviewers,Comments,BundleId,IsBundlePrimary,Tags
120115435,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115435]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2621403","Fixed","High",2021-11-14T21:59:26.758+01:00,92582,"Thibault Rommel",,"",,"","","","","",""
120115437,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115437]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2621936","Already_Fixed","High",2021-11-17T13:13:44.681+01:00,9612,"joost schouppe",,"",,"","","","","",""
120115436,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115436]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2621420","Fixed","High",2021-11-14T21:59:35.163+01:00,8217,"Thibault Rommel",,"",,"","","","","",""
120115441,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115441]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627079","Already_Fixed","High",2021-11-15T12:20:18.676+01:00,9490,"joost schouppe",,"",,"","","","","",""
120115438,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115438]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2621965","Already_Fixed","High",2021-11-17T13:13:52.628+01:00,3524,"joost schouppe",,"",,"","","","","",""
120115439,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115439]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2626454","Fixed","High",2021-11-14T22:26:10.358+01:00,5586,"Thibault Rommel",,"",,"","","","","",""
120115440,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115440]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627069","Fixed","High",2021-11-15T12:23:57.707+01:00,218630,"joost schouppe",,"",,"","","","","",""
120115443,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115443]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629039","Already_Fixed","High",2021-12-02T13:44:09.259+01:00,112956,"joost schouppe",,"",,"","","Thibault Rommel: C21 net voor een kruispunt lijkt onwaarschijnlijk","","",""
120115444,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115444]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629077","Fixed","High",2021-11-14T16:57:02.952+01:00,12657,"L'imaginaire",,"",,"","","","","",""
120115445,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115445]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2629093","Fixed","High",2021-11-14T16:56:50.104+01:00,232975,"L'imaginaire",,"",,"","","","","",""
120115448,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115448]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630159","Fixed","High",2021-11-14T18:04:30.987+01:00,33523,"Thibault Rommel",,"",,"","","","","",""
